Hora,Usuario,Seguidores,Tweets,Following
2025-07-09 07:10:57,@BCPComunica,396205,78314,1365
2025-07-09 07:18:51,@BCPComunica,396206,78314,1365
2025-07-09 08:28:10,@BCPComunica,396206,78314,1365
2025-07-09 09:23:47,@BCPComunica,396206,78314,1365
2025-07-09 10:22:43,@BCPComunica,396206,78314,1365
2025-07-09 11:18:06,@BCPComunica,396202,78314,1365
2025-07-09 12:41:29,@BCPComunica,396207,78314,1366
2025-07-09 15:22:11,@BCPComunica,396213,78315,1366
2025-07-09 16:24:38,@BCPComunica,396211,78315,1366
2025-07-09 17:20:01,@BCPComunica,396212,78315,1366
2025-07-09 18:29:32,@BCPComunica,396212,78315,1366
2025-07-09 19:17:15,@BCPComunica,396213,78315,1366
2025-07-09 20:22:31,@BCPComunica,396213,78315,1366
2025-07-09 21:19:21,@BCPComunica,396213,78315,1366
2025-07-09 22:19:43,@BCPComunica,396220,78315,1366
2025-07-09 23:19:47,@BCPComunica,396222,78315,1366
2025-07-10 01:43:01,@BCPComunica,396221,78315,1366
2025-07-10 03:22:04,@BCPComunica,396217,78315,1366
2025-07-10 04:32:40,@BCPComunica,396218,78315,1366
2025-07-10 05:23:06,@BCPComunica,396218,78315,1366
2025-07-10 06:31:23,@BCPComunica,396219,78315,1366
2025-07-10 07:20:44,@BCPComunica,396218,78315,1366
2025-07-10 08:28:06,@BCPComunica,396217,78315,1366
2025-07-10 09:23:52,@BCPComunica,396217,78315,1366
2025-07-10 10:22:20,@BCPComunica,396214,78315,1366
2025-07-10 11:18:18,@BCPComunica,396214,78315,1366
2025-07-10 12:42:07,@BCPComunica,396213,78315,1366
2025-07-10 13:35:12,@BCPComunica,396206,78316,1366
2025-07-10 14:20:50,@BCPComunica,396206,78316,1366
2025-07-10 15:22:47,@BCPComunica,396206,78317,1366
2025-07-10 16:26:48,@BCPComunica,396215,78317,1366
2025-07-10 17:20:00,@BCPComunica,396214,78317,1366
