Hora,Usuario,Seguidores,Tweets,Following
2025-07-09 07:09:50,@BanBif,4361,7146,37
2025-07-09 07:18:27,@BanBif,4361,7146,37
2025-07-09 08:27:46,@BanBif,4361,7146,37
2025-07-09 09:23:20,@BanBif,4361,7146,37
2025-07-09 10:22:13,@BanBif,4363,7146,37
2025-07-09 11:17:41,@BanBif,4363,7146,37
2025-07-09 12:41:04,@BanBif,4364,7146,37
2025-07-09 15:21:46,@BanBif,4364,7146,37
2025-07-09 16:24:09,@BanBif,4363,7146,37
2025-07-09 17:19:32,@BanBif,4363,7147,37
2025-07-09 18:29:07,@BanBif,4363,7147,37
2025-07-10 20:22:03,@BanBif,4365,7148,37
2025-07-10 21:20:15,@BanBif,4365,7148,37
2025-07-10 22:18:58,@BanBif,4365,7148,37
2025-07-10 23:19:26,@BanBif,4365,7148,37
2025-07-11 01:43:41,@BanBif,4365,7149,37
2025-07-11 03:27:32,@BanBif,4365,7149,37
2025-07-11 06:30:44,@BanBif,4365,7149,37
2025-07-11 07:20:50,@BanBif,4365,7149,37
2025-07-11 08:27:32,@BanBif,4365,7149,37
2025-07-11 09:22:18,@BanBif,4365,7149,37
2025-07-11 10:21:30,@BanBif,4365,7149,37
2025-07-11 12:40:27,@BanBif,4365,7149,37
2025-07-11 13:32:49,@BanBif,4365,7149,37
2025-07-11 14:20:04,@BanBif,4365,7149,37
2025-07-11 15:21:32,@BanBif,4365,7149,37
2025-07-11 16:25:44,@BanBif,4365,7150,37
2025-07-11 17:18:37,@BanBif,4365,7151,37
2025-07-11 18:28:21,@BanBif,4365,7152,37
2025-07-11 19:16:11,@BanBif,4365,7152,37
2025-07-11 20:22:11,@BanBif,4365,7152,37
2025-07-11 21:19:17,@BanBif,4365,7152,37
2025-07-11 22:19:18,@BanBif,4365,7152,37
2025-07-11 23:19:20,@BanBif,4365,7152,37
2025-07-12 01:45:21,@BanBif,4365,7153,37
2025-07-12 03:25:49,@BanBif,4364,7153,37
2025-07-12 04:31:00,@BanBif,4364,7153,37
2025-07-12 05:20:13,@BanBif,4364,7153,37
2025-07-12 06:28:02,@BanBif,4364,7153,37
2025-07-12 07:18:56,@BanBif,4364,7153,37
2025-07-12 08:24:16,@BanBif,4363,7153,37
2025-07-12 09:19:43,@BanBif,4363,7153,37
2025-07-12 10:19:43,@BanBif,4363,7153,37
2025-07-12 11:16:58,@BanBif,4363,7153,37
2025-07-12 12:37:42,@BanBif,4364,7153,37
2025-07-12 13:28:33,@BanBif,4364,7153,37
2025-07-12 14:17:40,@BanBif,4364,7153,37
2025-07-12 15:19:28,@BanBif,4364,7153,37
2025-07-12 16:23:08,@BanBif,4365,7153,37
2025-07-12 17:16:40,@BanBif,4365,7154,37
2025-07-12 18:26:47,@BanBif,4365,7154,37
2025-07-12 19:15:16,@BanBif,4365,7154,37
2025-07-12 20:20:42,@BanBif,4365,7154,37
2025-07-12 22:18:43,@BanBif,4365,7154,37
2025-07-12 23:19:45,@BanBif,4365,7154,37
