Hora,Usuario,Seguidores,Tweets,Following
2025-07-09 07:10:12,@BancoPichincha,460697,102275,25
2025-07-09 07:18:42,@BancoPichincha,460697,102275,25
2025-07-09 08:28:01,@BancoPichincha,460689,102275,25
2025-07-09 09:23:35,@BancoPichincha,460689,102275,25
2025-07-09 10:22:33,@BancoPichincha,460682,102275,25
2025-07-09 11:17:57,@BancoPichincha,460682,102275,25
2025-07-09 12:41:20,@BancoPichincha,460685,102275,25
2025-07-09 15:22:02,@BancoPichincha,460691,102276,25
2025-07-09 16:24:28,@BancoPichincha,460699,102276,25
2025-07-09 17:19:49,@BancoPichincha,460696,102276,25
2025-07-09 18:29:23,@BancoPichincha,460698,102276,25
2025-07-10 20:22:19,@BancoPichincha,460721,102284,25
2025-07-10 21:20:30,@BancoPichincha,460722,102284,25
2025-07-10 22:19:15,@BancoPichincha,460725,102284,25
2025-07-10 23:19:40,@BancoPichincha,460725,102284,25
2025-07-11 01:43:56,@BancoPichincha,460720,102284,25
2025-07-11 03:27:48,@BancoPichincha,460722,102284,25
2025-07-11 06:30:58,@BancoPichincha,460716,102284,25
2025-07-11 07:21:04,@BancoPichincha,460716,102284,25
2025-07-11 08:27:49,@BancoPichincha,460705,102284,25
2025-07-11 09:22:33,@BancoPichincha,460705,102284,25
2025-07-11 10:21:47,@BancoPichincha,460697,102284,25
2025-07-11 12:40:43,@BancoPichincha,460707,102284,25
2025-07-11 13:33:06,@BancoPichincha,460707,102284,25
2025-07-11 14:20:19,@BancoPichincha,460710,102285,25
2025-07-11 15:21:48,@BancoPichincha,460710,102285,25
2025-07-11 16:25:59,@BancoPichincha,460713,102285,25
2025-07-11 17:18:53,@BancoPichincha,460714,102287,25
2025-07-11 18:28:37,@BancoPichincha,460720,102287,25
2025-07-11 19:16:27,@BancoPichincha,460720,102287,25
2025-07-11 20:22:25,@BancoPichincha,460722,102287,25
2025-07-11 21:19:31,@BancoPichincha,460723,102287,25
2025-07-11 22:19:33,@BancoPichincha,460729,102288,25
2025-07-11 23:19:34,@BancoPichincha,460730,102288,25
2025-07-12 01:45:37,@BancoPichincha,460725,102288,25
2025-07-12 03:26:04,@BancoPichincha,460723,102288,25
2025-07-12 04:31:14,@BancoPichincha,460723,102288,25
2025-07-12 05:20:27,@BancoPichincha,460730,102288,25
2025-07-12 06:28:16,@BancoPichincha,460729,102288,25
2025-07-12 07:19:10,@BancoPichincha,460715,102288,25
2025-07-12 08:24:31,@BancoPichincha,460715,102288,25
2025-07-12 09:19:57,@BancoPichincha,460703,102288,25
2025-07-12 10:19:57,@BancoPichincha,460703,102288,25
2025-07-12 11:17:13,@BancoPichincha,460704,102288,25
2025-07-12 12:37:57,@BancoPichincha,460706,102288,25
2025-07-12 13:28:47,@BancoPichincha,460717,102288,25
2025-07-12 14:17:55,@BancoPichincha,460718,102288,25
2025-07-12 15:19:43,@BancoPichincha,460718,102288,25
2025-07-12 16:23:23,@BancoPichincha,460721,102288,25
2025-07-12 17:16:56,@BancoPichincha,460722,102288,25
2025-07-12 18:27:02,@BancoPichincha,460722,102288,25
2025-07-12 19:15:30,@BancoPichincha,460722,102288,25
2025-07-12 20:20:57,@BancoPichincha,460722,102288,25
2025-07-12 22:18:59,@BancoPichincha,460717,102288,25
2025-07-12 23:19:58,@BancoPichincha,460714,102288,25
2025-07-13 01:52:51,@BancoPichincha,460717,102288,25
2025-07-13 03:40:51,@BancoPichincha,460710,102288,25
2025-07-13 04:37:12,@BancoPichincha,460709,102288,25
2025-07-13 05:21:34,@BancoPichincha,460709,102288,25
2025-07-13 06:29:17,@BancoPichincha,460708,102288,25
2025-07-13 07:20:20,@BancoPichincha,460708,102288,25
2025-07-13 08:24:19,@BancoPichincha,460704,102288,25
2025-07-13 09:21:44,@BancoPichincha,460704,102288,25
2025-07-13 10:21:42,@BancoPichincha,460705,102288,25
2025-07-13 11:16:04,@BancoPichincha,460707,102288,25
2025-07-13 12:38:08,@BancoPichincha,460703,102288,25
2025-07-13 13:29:21,@BancoPichincha,460704,102288,25
2025-07-13 14:17:41,@BancoPichincha,460704,102288,25
2025-07-13 15:19:18,@BancoPichincha,460705,102288,25
2025-07-13 16:23:32,@BancoPichincha,460708,102288,25
2025-07-13 17:17:13,@BancoPichincha,460710,102288,25
2025-07-13 18:26:58,@BancoPichincha,460716,102288,25
2025-07-13 19:15:49,@BancoPichincha,460715,102288,25
2025-07-13 20:20:44,@BancoPichincha,460712,102288,25
2025-07-13 21:18:17,@BancoPichincha,460716,102288,25
2025-07-13 22:18:50,@BancoPichincha,460716,102288,25
2025-07-13 23:20:33,@BancoPichincha,460712,102288,25
2025-07-14 01:48:50,@BancoPichincha,460722,102288,25
2025-07-14 03:41:28,@BancoPichincha,460714,102288,25
2025-07-14 04:41:40,@BancoPichincha,460714,102288,25
2025-07-14 05:25:25,@BancoPichincha,460722,102288,25
2025-07-14 06:32:59,@BancoPichincha,460723,102288,25
2025-07-14 07:24:08,@BancoPichincha,460718,102288,25
2025-07-14 08:30:34,@BancoPichincha,460718,102288,25
2025-07-14 09:28:07,@BancoPichincha,460716,102288,25
2025-07-14 10:23:07,@BancoPichincha,460716,102288,25
2025-07-14 11:18:24,@BancoPichincha,460708,102288,25
2025-07-14 12:42:37,@BancoPichincha,460709,102288,25
2025-07-14 13:36:24,@BancoPichincha,460720,102288,25
2025-07-14 14:21:31,@BancoPichincha,460721,102288,25
2025-07-14 15:22:51,@BancoPichincha,460717,102288,25
2025-07-14 16:27:09,@BancoPichincha,460717,102288,25
2025-07-14 17:19:39,@BancoPichincha,460717,102288,25
2025-07-14 18:31:33,@BancoPichincha,460719,102288,25
2025-07-14 19:16:04,@BancoPichincha,460720,102288,25
2025-07-14 20:23:23,@BancoPichincha,460722,102288,25
2025-07-14 21:20:09,@BancoPichincha,460726,102288,25
2025-07-14 22:20:00,@BancoPichincha,460727,102288,25
2025-07-14 23:19:58,@BancoPichincha,460727,102288,25
2025-07-15 01:49:09,@BancoPichincha,460736,102288,25
2025-07-15 03:38:35,@BancoPichincha,460739,102288,25
2025-07-15 04:39:06,@BancoPichincha,460738,102288,25
2025-07-15 05:24:47,@BancoPichincha,460739,102288,25
2025-07-15 06:32:16,@BancoPichincha,460744,102288,25
2025-07-15 07:22:13,@BancoPichincha,460744,102288,25
2025-07-15 08:28:40,@BancoPichincha,460732,102288,25
2025-07-15 09:29:29,@BancoPichincha,460732,102288,25
2025-07-15 10:22:17,@BancoPichincha,460722,102288,25
2025-07-15 11:18:46,@BancoPichincha,460722,102288,25
2025-07-15 12:42:55,@BancoPichincha,460726,102288,25
2025-07-15 13:36:52,@BancoPichincha,460730,102288,25
2025-07-15 14:19:47,@BancoPichincha,460731,102288,25
2025-07-15 15:20:55,@BancoPichincha,460733,102289,25
2025-07-15 16:27:26,@BancoPichincha,460736,102291,25
2025-07-15 17:19:05,@BancoPichincha,460740,102292,25
2025-07-15 18:31:29,@BancoPichincha,460740,102292,25
2025-07-15 19:18:01,@BancoPichincha,460739,102292,25
2025-07-15 20:23:52,@BancoPichincha,460739,102293,25
2025-07-15 23:19:38,@BancoPichincha,460731,102293,25
2025-07-16 01:45:55,@BancoPichincha,460728,102293,25
2025-07-16 03:27:59,@BancoPichincha,460732,102293,25
2025-07-16 04:38:26,@BancoPichincha,460734,102293,25
2025-07-16 05:26:03,@BancoPichincha,460734,102293,25
2025-07-16 06:31:52,@BancoPichincha,460734,102293,25
2025-07-16 07:22:05,@BancoPichincha,460734,102293,25
2025-07-16 08:28:55,@BancoPichincha,460728,102293,25
2025-07-16 09:26:29,@BancoPichincha,460728,102293,25
2025-07-16 10:23:02,@BancoPichincha,460720,102293,25
2025-07-16 12:43:26,@BancoPichincha,460718,102293,25
2025-07-16 14:19:45,@BancoPichincha,460731,102295,25
2025-07-16 15:23:51,@BancoPichincha,460729,102296,25
