Hora,Usuario,Seguidores,Tweets,Following
2025-07-09 07:18:22,@Interbank,304222,66926,71
2025-07-09 08:27:42,@Interbank,304221,66926,71
2025-07-09 09:23:14,@Interbank,304220,66926,71
2025-07-09 10:22:08,@Interbank,304221,66926,71
2025-07-09 11:17:36,@Interbank,304221,66926,71
2025-07-09 12:40:58,@Interbank,304224,66926,71
2025-07-09 15:21:41,@Interbank,304224,66926,71
2025-07-09 16:24:03,@Interbank,304224,66926,71
2025-07-09 17:19:27,@Interbank,304224,66926,71
2025-07-09 18:29:01,@Interbank,304231,66926,71
2025-07-09 19:16:43,@Interbank,304233,66926,71
2025-07-09 20:22:01,@Interbank,304227,66926,71
2025-07-09 21:18:50,@Interbank,304228,66926,71
2025-07-09 22:19:13,@Interbank,304231,66926,71
2025-07-09 23:19:17,@Interbank,304232,66926,71
2025-07-10 01:42:32,@Interbank,304238,66926,71
2025-07-10 03:21:32,@Interbank,304239,66929,71
2025-07-10 04:32:11,@Interbank,304240,66934,71
2025-07-10 05:22:38,@Interbank,304240,66934,71
2025-07-10 06:30:51,@Interbank,304238,66934,71
2025-07-10 07:20:15,@Interbank,304237,66934,71
2025-07-10 08:27:37,@Interbank,304234,66934,71
2025-07-10 09:23:22,@Interbank,304234,66934,71
2025-07-10 10:21:50,@Interbank,304229,66934,71
2025-07-10 11:17:50,@Interbank,304229,66934,71
2025-07-10 12:41:34,@Interbank,304229,66934,71
2025-07-10 13:34:39,@Interbank,304223,66934,71
2025-07-10 14:20:19,@Interbank,304223,66934,71
2025-07-10 15:22:14,@Interbank,304223,66934,71
2025-07-10 16:26:15,@Interbank,304230,66934,71
2025-07-10 17:19:30,@Interbank,304231,66934,71
2025-07-10 18:28:51,@Interbank,304231,66934,71
2025-07-10 19:16:29,@Interbank,304223,66934,71
2025-07-10 21:20:10,@Interbank,304223,66934,71
2025-07-10 22:18:53,@Interbank,304225,66934,71
2025-07-10 23:19:20,@Interbank,304232,66934,71
2025-07-11 01:43:36,@Interbank,304242,66936,71
2025-07-11 03:27:27,@Interbank,304244,66937,70
2025-07-11 06:30:39,@Interbank,304252,66937,70
2025-07-11 07:20:45,@Interbank,304253,66937,70
2025-07-11 08:27:27,@Interbank,304253,66937,70
2025-07-11 09:22:13,@Interbank,304245,66937,70
2025-07-11 10:21:24,@Interbank,304245,66937,70
2025-07-11 12:40:22,@Interbank,304249,66937,70
2025-07-11 13:32:44,@Interbank,304249,66937,70
2025-07-11 14:19:58,@Interbank,304249,66937,70
2025-07-11 15:21:25,@Interbank,304249,66937,71
2025-07-11 16:25:38,@Interbank,304249,66937,71
2025-07-11 17:18:32,@Interbank,304249,66937,71
2025-07-11 18:28:16,@Interbank,304246,66937,71
2025-07-11 19:16:06,@Interbank,304246,66937,71
2025-07-11 20:22:06,@Interbank,304246,66937,71
2025-07-11 21:19:12,@Interbank,304246,66937,71
2025-07-11 22:19:13,@Interbank,304247,66937,71
2025-07-11 23:19:15,@Interbank,304248,66937,71
2025-07-12 01:45:16,@Interbank,304246,66938,71
2025-07-12 03:25:44,@Interbank,304251,66938,71
2025-07-12 04:30:55,@Interbank,304253,66938,71
2025-07-12 05:20:08,@Interbank,304253,66938,71
2025-07-12 06:27:57,@Interbank,304251,66938,71
2025-07-12 07:18:52,@Interbank,304244,66938,71
2025-07-12 08:24:11,@Interbank,304244,66938,71
2025-07-12 09:19:37,@Interbank,304244,66938,71
2025-07-12 10:19:37,@Interbank,304245,66938,71
2025-07-12 11:16:51,@Interbank,304246,66938,71
2025-07-12 12:37:38,@Interbank,304250,66938,71
2025-07-12 13:28:28,@Interbank,304250,66938,71
2025-07-12 14:17:34,@Interbank,304250,66938,71
2025-07-12 15:19:23,@Interbank,304250,66938,71
2025-07-12 16:23:03,@Interbank,304250,66940,71
2025-07-12 17:16:35,@Interbank,304253,66940,71
2025-07-12 18:26:42,@Interbank,304255,66941,71
2025-07-12 19:15:09,@Interbank,304255,66942,71
2025-07-12 20:20:37,@Interbank,304252,66942,71
2025-07-12 22:18:38,@Interbank,304251,66943,71
2025-07-12 23:19:40,@Interbank,304252,66943,71
2025-07-13 01:52:31,@Interbank,304260,66944,71
2025-07-13 03:40:32,@Interbank,304260,66945,71
2025-07-13 04:36:53,@Interbank,304259,66945,71
2025-07-13 05:21:14,@Interbank,304259,66945,71
2025-07-13 06:28:58,@Interbank,304263,66945,71
2025-07-13 07:19:59,@Interbank,304263,66945,71
2025-07-13 08:23:59,@Interbank,304259,66945,71
2025-07-13 09:21:25,@Interbank,304259,66945,71
2025-07-13 10:21:22,@Interbank,304258,66945,71
2025-07-13 11:15:42,@Interbank,304258,66945,71
2025-07-13 12:37:49,@Interbank,304258,66945,71
2025-07-13 13:29:00,@Interbank,304258,66945,71
2025-07-13 14:17:21,@Interbank,304267,66945,71
2025-07-13 15:18:58,@Interbank,304267,66945,71
2025-07-13 16:23:12,@Interbank,304264,66945,71
2025-07-13 17:16:28,@Interbank,304263,66945,71
2025-07-13 18:26:38,@Interbank,304264,66945,71
2025-07-13 19:15:30,@Interbank,304261,66945,71
2025-07-13 20:20:24,@Interbank,304261,66945,71
2025-07-13 21:17:56,@Interbank,304258,66945,71
2025-07-13 22:18:27,@Interbank,304258,66945,71
2025-07-13 23:20:13,@Interbank,304267,66945,71
2025-07-14 01:48:28,@Interbank,304263,66946,71
2025-07-14 03:41:08,@Interbank,304258,66946,71
2025-07-14 04:41:20,@Interbank,304262,66946,71
2025-07-14 05:25:05,@Interbank,304262,66946,71
2025-07-14 06:32:40,@Interbank,304261,66946,71
2025-07-14 07:23:46,@Interbank,304260,66946,71
2025-07-14 08:30:14,@Interbank,304264,66946,71
2025-07-14 09:27:49,@Interbank,304264,66946,71
2025-07-14 10:22:46,@Interbank,304253,66946,71
2025-07-14 11:18:04,@Interbank,304253,66946,71
2025-07-14 12:42:18,@Interbank,304256,66946,71
2025-07-14 13:36:03,@Interbank,304256,66946,71
2025-07-14 14:21:12,@Interbank,304262,66946,71
2025-07-14 15:22:30,@Interbank,304264,66946,71
2025-07-14 16:26:49,@Interbank,304264,66946,71
2025-07-14 17:19:20,@Interbank,304265,66947,71
2025-07-14 18:31:11,@Interbank,304268,66947,71
2025-07-14 19:15:45,@Interbank,304268,66947,71
2025-07-14 20:23:01,@Interbank,304268,66947,71
2025-07-14 21:19:49,@Interbank,304268,66947,71
2025-07-14 22:19:40,@Interbank,304275,66947,71
2025-07-14 23:19:39,@Interbank,304275,66947,71
2025-07-15 01:48:48,@Interbank,304263,66947,71
2025-07-15 03:38:15,@Interbank,304262,66947,71
2025-07-15 04:38:47,@Interbank,304263,66947,71
2025-07-15 05:24:29,@Interbank,304263,66947,71
2025-07-15 06:31:55,@Interbank,304263,66947,71
2025-07-15 07:21:54,@Interbank,304263,66947,71
2025-07-15 08:28:19,@Interbank,304258,66947,71
2025-07-15 09:29:08,@Interbank,304257,66947,71
2025-07-15 10:21:59,@Interbank,304257,66947,71
2025-07-15 11:18:26,@Interbank,304257,66947,71
2025-07-15 12:42:36,@Interbank,304257,66948,71
2025-07-15 13:36:32,@Interbank,304258,66948,71
2025-07-15 14:19:27,@Interbank,304258,66948,71
2025-07-15 15:20:35,@Interbank,304260,66948,71
2025-07-15 16:27:07,@Interbank,304258,66948,71
2025-07-15 17:18:42,@Interbank,304258,66948,71
2025-07-15 18:31:08,@Interbank,304263,66949,71
2025-07-15 19:17:40,@Interbank,304255,66949,71
2025-07-15 20:23:17,@Interbank,304256,66949,71
2025-07-15 23:19:18,@Interbank,304255,66949,71
2025-07-16 01:45:36,@Interbank,304259,66951,71
2025-07-16 03:27:40,@Interbank,304257,66952,71
2025-07-16 04:38:05,@Interbank,304257,66952,71
2025-07-16 05:25:45,@Interbank,304263,66952,71
2025-07-16 06:31:33,@Interbank,304264,66952,71
2025-07-16 07:21:46,@Interbank,304265,66952,71
2025-07-16 08:28:33,@Interbank,304266,66952,71
2025-07-16 09:26:10,@Interbank,304266,66952,71
2025-07-16 10:22:42,@Interbank,304266,66952,71
2025-07-16 12:43:04,@Interbank,304263,66952,71
2025-07-16 14:19:23,@Interbank,304269,66953,71
2025-07-16 15:23:31,@Interbank,304273,66953,71
2025-07-16 16:27:45,@Interbank,304273,66954,71
2025-07-16 17:20:25,@Interbank,304274,66955,71
2025-07-16 18:30:20,@Interbank,304275,66955,71
2025-07-16 19:17:35,@Interbank,304268,66957,71
2025-07-16 21:20:14,@Interbank,304265,66958,71
2025-07-16 22:20:00,@Interbank,304265,66958,71
2025-07-16 23:19:54,@Interbank,304268,66958,71
2025-07-17 01:46:18,@Interbank,304276,66959,71
2025-07-17 04:37:37,@Interbank,304276,66960,71
2025-07-17 05:24:59,@Interbank,304276,66960,71
2025-07-17 06:31:27,@Interbank,304273,66960,71
2025-07-17 07:21:58,@Interbank,304273,66960,71
2025-07-17 08:28:28,@Interbank,304260,66960,71
2025-07-17 09:24:54,@Interbank,304260,66960,71
2025-07-17 10:23:28,@Interbank,304255,66960,71
2025-07-17 11:18:58,@Interbank,304255,66960,71
2025-07-17 12:42:17,@Interbank,304258,66960,71
2025-07-17 13:37:00,@Interbank,304258,66960,71
2025-07-17 14:19:18,@Interbank,304260,66960,71
2025-07-17 15:23:04,@Interbank,304261,66960,71
2025-07-17 16:26:52,@Interbank,304266,66960,71
2025-07-17 18:30:34,@Interbank,304266,66960,71
2025-07-17 19:17:55,@Interbank,304269,66960,71
2025-07-17 20:22:57,@Interbank,304266,66960,71
2025-07-17 21:19:41,@Interbank,304267,66960,71
2025-07-17 22:20:19,@Interbank,304267,66961,71
2025-07-17 23:20:36,@Interbank,304267,66961,71
