Hora,Usuario,Seguidores,Tweets,Following
2025-07-09 07:11:07,@ScotiabankPE,27442,11494,581
2025-07-09 07:18:56,@ScotiabankPE,27442,11494,581
2025-07-09 08:28:15,@ScotiabankPE,27442,11494,581
2025-07-09 09:23:52,@ScotiabankPE,27443,11494,581
2025-07-09 10:22:49,@ScotiabankPE,27443,11494,581
2025-07-09 11:18:12,@ScotiabankPE,27444,11494,581
2025-07-09 12:41:35,@ScotiabankPE,27445,11494,581
2025-07-09 15:22:16,@ScotiabankPE,27446,11494,581
2025-07-09 16:24:43,@ScotiabankPE,27445,11494,581
2025-07-09 17:20:05,@ScotiabankPE,27445,11494,581
2025-07-09 18:29:37,@ScotiabankPE,27445,11494,581
2025-07-10 20:22:34,@ScotiabankPE,27445,11494,581
2025-07-10 21:20:48,@ScotiabankPE,27445,11496,581
2025-07-10 22:19:30,@ScotiabankPE,27446,11498,581
2025-07-10 23:19:56,@ScotiabankPE,27446,11498,581
2025-07-11 01:44:11,@ScotiabankPE,27445,11498,581
2025-07-11 03:28:04,@ScotiabankPE,27447,11498,581
