timestamp,usuario,fecha_publicacion,contenido,respuestas,retweets,likes,guardados,vistas
2025-07-09 07:11:06,ScotiabankPE,Jun 27,,3,1,1,0,781
2025-07-09 07:11:06,ScotiabankPE,Jun 24,,0,1,0,0,792
2025-07-09 07:11:06,ScotiabankPE,Jun 20,,0,1,1,0,382
2025-07-09 07:11:06,ScotiabankPE,Jun 6,,1,1,2,0,928
2025-07-09 07:11:06,ScotiabankPE,May 26,,1,1,2,1,1.0K
2025-07-09 07:11:06,ScotiabankPE,May 22,,1,1,3,0,1.0K
2025-07-09 07:11:06,ScotiabankPE,Apr 28,,1,2,5,1,1.0K
2025-07-09 07:11:06,ScotiabankPE,Mar 26,,8,1,0,0,2.0K
2025-07-09 07:11:06,ScotiabankPE,Mar 12,,4,2,0,0,2.0K
2025-07-09 07:11:06,ScotiabankPE,Mar 7,,6,1,1,0,1.0K
2025-07-09 07:11:06,ScotiabankPE,Mar 7,En Scotiabank te reconocemos tus logros y nos comprometemos a seguir trabajando por la equidad todos los días del año. #8MTodosLosDías. 💜 #8MTODOSLOSDÍAS,14,1,6,0,2.0K
2025-07-09 07:11:06,ScotiabankPE,Oct 16,,19,2,11,1,7.0K
2025-07-09 07:11:06,ScotiabankPE,Sep 10,,2,4,26,1,6.0K
2025-07-09 07:11:06,ScotiabankPE,Aug 29,,0,4,23,0,5.0K
2025-07-09 07:11:06,ScotiabankPE,Aug 8,,6,1,2,0,4.0K
2025-07-09 07:11:06,ScotiabankPE,"Jun 18, 2024",,5,1,3,0,5.0K
2025-07-09 07:11:06,ScotiabankPE,"Jun 13, 2024",,2,6,9,0,4.0K
2025-07-09 07:11:06,ScotiabankPE,"Jun 14, 2024","Somos y seremos sus más grandes hinchas. ⚽️Etiquétalo y dile por qué lo eres. ❤️

#ScotiabankPerú #HablemosEnSerio #DíaDelPadre",18,0,4,0,4.0K
2025-07-09 07:11:06,ScotiabankPE,"May 10, 2024","El mejor regalo para mamá es reconocerla. 🤗  Etiquétala y coméntale por qué lo está haciendo bien.
#HablemosEnSerio #ScotiabankPerú #FelizDíaMamá",14,0,3,0,4.0K
2025-07-09 07:11:06,ScotiabankPE,"Apr 12, 2024","Estos pequeños campeones conquistaron la Copa Continental Scotiabank y ganaron un viaje a Barcelona. 🏆 ⚽️

Comenta aquí dejándoles tus mejores deseos.

#CampeonesEnBarcelona #TodosALaCancha #HablemosEnSerio #ScotiabankPerú",8,0,2,0,4.0K
2025-07-09 07:18:55,ScotiabankPE,Jun 27,,3,1,1,0,781
2025-07-09 07:18:55,ScotiabankPE,Jun 24,,0,1,0,0,792
2025-07-09 07:18:55,ScotiabankPE,Jun 20,,0,1,1,0,382
2025-07-09 07:18:55,ScotiabankPE,Jun 6,,1,1,2,0,928
2025-07-09 07:18:55,ScotiabankPE,May 26,,1,1,2,1,1.0K
2025-07-09 07:18:55,ScotiabankPE,May 22,,1,1,3,0,1.0K
2025-07-09 07:18:55,ScotiabankPE,Apr 28,,1,2,5,1,1.0K
2025-07-09 07:18:55,ScotiabankPE,Mar 26,,8,1,0,0,2.0K
2025-07-09 07:18:55,ScotiabankPE,Mar 12,,4,2,0,0,2.0K
2025-07-09 07:18:55,ScotiabankPE,Mar 7,,6,1,1,0,1.0K
2025-07-09 07:18:55,ScotiabankPE,Mar 7,En Scotiabank te reconocemos tus logros y nos comprometemos a seguir trabajando por la equidad todos los días del año. #8MTodosLosDías. 💜 #8MTODOSLOSDÍAS,14,1,6,0,2.0K
2025-07-09 07:18:55,ScotiabankPE,Oct 16,,19,2,11,1,7.0K
2025-07-09 07:18:55,ScotiabankPE,Sep 10,,2,4,26,1,6.0K
2025-07-09 07:18:55,ScotiabankPE,Aug 29,,0,4,23,0,5.0K
2025-07-09 07:18:55,ScotiabankPE,Aug 8,,6,1,2,0,4.0K
2025-07-09 07:18:55,ScotiabankPE,"Jun 18, 2024",,5,1,3,0,5.0K
2025-07-09 07:18:55,ScotiabankPE,"Jun 13, 2024",,2,6,9,0,4.0K
2025-07-09 07:18:55,ScotiabankPE,"Jun 14, 2024","Somos y seremos sus más grandes hinchas. ⚽️Etiquétalo y dile por qué lo eres. ❤️

#ScotiabankPerú #HablemosEnSerio #DíaDelPadre",18,0,4,0,4.0K
2025-07-09 07:18:55,ScotiabankPE,"May 10, 2024","El mejor regalo para mamá es reconocerla. 🤗  Etiquétala y coméntale por qué lo está haciendo bien.
#HablemosEnSerio #ScotiabankPerú #FelizDíaMamá",14,0,3,0,4.0K
2025-07-09 07:18:55,ScotiabankPE,"Apr 12, 2024","Estos pequeños campeones conquistaron la Copa Continental Scotiabank y ganaron un viaje a Barcelona. 🏆 ⚽️

Comenta aquí dejándoles tus mejores deseos.

#CampeonesEnBarcelona #TodosALaCancha #HablemosEnSerio #ScotiabankPerú",8,0,2,0,4.0K
2025-07-09 08:28:15,ScotiabankPE,Jun 27,,3,1,1,0,782
2025-07-09 08:28:15,ScotiabankPE,Jun 24,,0,1,0,0,793
2025-07-09 08:28:15,ScotiabankPE,Jun 20,,0,1,1,0,382
2025-07-09 08:28:15,ScotiabankPE,Jun 6,,1,1,2,0,928
2025-07-09 08:28:15,ScotiabankPE,May 26,,1,1,2,1,1.0K
2025-07-09 08:28:15,ScotiabankPE,May 22,,1,1,3,0,1.0K
2025-07-09 08:28:15,ScotiabankPE,Apr 28,,1,2,5,1,1.0K
2025-07-09 08:28:15,ScotiabankPE,Mar 26,,8,1,0,0,2.0K
2025-07-09 08:28:15,ScotiabankPE,Mar 12,,4,2,0,0,2.0K
2025-07-09 08:28:15,ScotiabankPE,Mar 7,,6,1,1,0,1.0K
2025-07-09 08:28:15,ScotiabankPE,Mar 7,En Scotiabank te reconocemos tus logros y nos comprometemos a seguir trabajando por la equidad todos los días del año. #8MTodosLosDías. 💜 #8MTODOSLOSDÍAS,14,1,6,0,2.0K
2025-07-09 08:28:15,ScotiabankPE,Oct 16,,19,2,11,1,7.0K
2025-07-09 08:28:15,ScotiabankPE,Sep 10,,2,4,26,1,6.0K
2025-07-09 08:28:15,ScotiabankPE,Aug 29,,0,4,23,0,5.0K
2025-07-09 08:28:15,ScotiabankPE,Aug 8,,6,1,2,0,4.0K
2025-07-09 08:28:15,ScotiabankPE,"Jun 18, 2024",,5,1,3,0,5.0K
2025-07-09 08:28:15,ScotiabankPE,"Jun 13, 2024",,2,6,9,0,4.0K
2025-07-09 08:28:15,ScotiabankPE,"Jun 14, 2024","Somos y seremos sus más grandes hinchas. ⚽️Etiquétalo y dile por qué lo eres. ❤️

#ScotiabankPerú #HablemosEnSerio #DíaDelPadre",18,0,4,0,4.0K
2025-07-09 08:28:15,ScotiabankPE,"May 10, 2024","El mejor regalo para mamá es reconocerla. 🤗  Etiquétala y coméntale por qué lo está haciendo bien.
#HablemosEnSerio #ScotiabankPerú #FelizDíaMamá",14,0,3,0,4.0K
