Hora,Usuario,Seguidores,Tweets,Following
2025-07-09 07:10:04,@bcrpoficial,293340,15607,207
2025-07-09 07:18:37,@bcrpoficial,293340,15607,207
2025-07-09 08:27:57,@bcrpoficial,293344,15607,207
2025-07-09 09:23:30,@bcrpoficial,293344,15607,207
2025-07-09 10:22:24,@bcrpoficial,293344,15607,207
2025-07-09 11:17:51,@bcrpoficial,293344,15607,207
2025-07-09 12:41:15,@bcrpoficial,293344,15607,207
2025-07-09 15:21:56,@bcrpoficial,293342,15607,207
2025-07-09 16:24:22,@bcrpoficial,293348,15607,207
2025-07-09 17:19:43,@bcrpoficial,293349,15607,207
2025-07-09 18:29:18,@bcrpoficial,293346,15608,207
2025-07-10 20:22:14,@bcrpoficial,293353,15609,207
2025-07-10 21:20:25,@bcrpoficial,293355,15610,207
2025-07-10 22:19:09,@bcrpoficial,293357,15610,207
2025-07-10 23:19:36,@bcrpoficial,293354,15611,207
2025-07-11 01:43:51,@bcrpoficial,293359,15617,207
2025-07-11 03:27:43,@bcrpoficial,293359,15617,207
2025-07-11 06:30:54,@bcrpoficial,293361,15617,207
2025-07-11 07:20:59,@bcrpoficial,293361,15617,207
2025-07-11 08:27:43,@bcrpoficial,293363,15617,207
2025-07-11 09:22:28,@bcrpoficial,293363,15617,207
2025-07-11 10:21:41,@bcrpoficial,293360,15617,207
2025-07-11 12:40:38,@bcrpoficial,293357,15617,207
2025-07-11 13:33:01,@bcrpoficial,293357,15620,207
2025-07-11 14:20:14,@bcrpoficial,293356,15623,207
2025-07-11 15:21:42,@bcrpoficial,293358,15626,207
2025-07-11 16:25:54,@bcrpoficial,293359,15628,207
