timestamp,usuario,fecha_publicacion,contenido,respuestas,retweets,likes,guardados,vistas
2025-07-09 02:51:17,elonmusk,Jul 7,Grok 4 release livestream on Wednesday at 8pm PT @xAI,11.0K,11.0K,77.0K,5.0K,30.5M
2025-07-09 02:51:17,elonmusk,6 h,,2.0K,9.0K,51.0K,921,1.9M
2025-07-09 02:51:17,elonmusk,7 h,,3.0K,4.0K,33.0K,736,1.7M
2025-07-09 02:51:17,elonmusk,7 h,How many millions of lives did USAID kill?,553,3.0K,11.0K,742,2.0M
2025-07-09 02:51:17,elonmusk,8 h,One of our cars is literally floating in space rn,976,1.0K,13.0K,259,2.6M
2025-07-09 02:51:17,elonmusk,8 h,"If you want to help support the Texas flood response, you can donate w/ cash, credit, crypto or stock via @TheGivingBlock to the charity of your choice. I am matching donations and in for a minimum of $500,000.",324,1.0K,5.0K,146,2.0M
2025-07-09 02:51:17,elonmusk,8 h,,1.0K,686,7.0K,123,1.3M
2025-07-09 02:51:17,elonmusk,8 h,How can people be expected to have faith in Trump if he won’t release the Epstein files?,30.0K,34.0K,281.0K,8.0K,22.5M
2025-07-09 02:51:17,elonmusk,9 h,,973,1.0K,8.0K,340,1.4M
2025-07-09 02:51:17,elonmusk,9 h,,594,672,5.0K,130,1.2M
2025-07-09 02:51:17,elonmusk,10 h,"""To the 10s of thousands of video, they turned out to be child p*rn...never gonna be released.""

WITH WHO???????",1.0K,2.0K,12.0K,701,2.1M
2025-07-09 02:51:17,elonmusk,9 h,,1.0K,6.0K,33.0K,1.0K,2.5M
2025-07-09 02:51:17,elonmusk,9 h,"They arrested (and killed) Peanut, but have not even tried to file charges against anyone on the Epstein client list.

Government is deeply broken.",13.0K,36.0K,241.0K,7.0K,13.0M
2025-07-09 02:51:17,elonmusk,22 h,,1.0K,4.0K,28.0K,696,1.7M
2025-07-09 02:51:17,elonmusk,17 h,,1.0K,2.0K,10.0K,901,1.4M
2025-07-09 02:51:17,elonmusk,Jul 7,,839,1.0K,7.0K,244,2.0M
2025-07-09 02:51:17,elonmusk,Jul 7,,953,2.0K,10.0K,609,2.1M
2025-07-09 02:51:17,elonmusk,Jul 7,"First your Tesla comes to pick you up, then it drives you where you need to go

All on its own, under your supervision",917,2.0K,9.0K,374,3.0M
2025-07-09 02:51:17,elonmusk,Jul 8,,384,938,5.0K,203,1.6M
2025-07-09 02:51:17,elonmusk,20 h,,968,984,3.0K,281,1.4M
